,Unnamed: 0,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,return_on_investment,year,movie_id,primary_title,original_title,runtime_minutes,genres,averagerating,numvotes
838,4263,64,2017-06-23,The Big Sick,5000000,42872467,53972860,10.794572,2017,tt5462602,The Big Sick,The Big Sick,120.0,"Comedy,Drama,Romance",7.6,104008
839,4269,70,2014-01-03,Paranormal Activity: The Marked Ones,5000000,32462372,90904854,18.1809708,2014,tt2473682,Paranormal Activity: The Marked Ones,Paranormal Activity: The Marked Ones,84.0,"Horror,Mystery,Thriller",5.0,37147
840,4271,72,2014-04-11,Oculus,5000000,27695246,44115496,8.8230992,2014,tt2388715,Oculus,Oculus,104.0,"Horror,Mystery",6.5,106906
841,4272,73,2013-11-01,Dallas Buyers Club,5000000,27298285,60611845,12.122369,2013,tt0790636,Dallas Buyers Club,Dallas Buyers Club,117.0,"Biography,Drama",8.0,402462
842,4273,74,2015-08-26,No Escape,5000000,27288872,42844516,8.5689032,2015,tt1781922,No Escape,No Escape,103.0,"Action,Thriller",6.8,70222
843,4275,76,2015-02-27,The Lazarus Effect,5000000,25801570,38359310,7.671862,2015,tt2918436,The Lazarus Effect,The Lazarus Effect,83.0,"Horror,Mystery,Sci-Fi",5.2,37675
844,4277,78,2011-08-26,Our Idiot Brother,5000000,24814830,25861249,5.1722498,2011,tt1637706,Our Idiot Brother,Our Idiot Brother,90.0,"Comedy,Drama",6.4,80738
845,4278,79,2018-03-09,The Strangers: Prey at Night,5000000,24431472,29960051,5.9920102,2018,tt1285009,The Strangers: Prey at Night,The Strangers: Prey at Night,85.0,Horror,5.2,21614
846,4282,83,2013-07-05,The Way Way Back,5000000,21502690,26853810,5.370762,2013,tt1727388,The Way Way Back,The Way Way Back,103.0,"Comedy,Drama",7.4,132642
847,4289,90,2016-02-19,Race,5000000,19115191,23745772,4.7491544,2016,tt1867035,Race,Race,150.0,Drama,3.9,73
848,4291,92,2015-01-16,Still Alice,5000000,18656400,41699612,8.3399224,2015,tt3316960,Still Alice,Still Alice,101.0,Drama,7.5,116832
849,4293,94,2011-09-02,Apollo 18,5000000,17686929,26517819,5.3035638,2011,tt1772240,Apollo 18,Apollo 18,86.0,"Horror,Mystery,Sci-Fi",5.2,51427
850,4295,96,2014-10-10,Addicted,5000000,17390770,17499242,3.4998484,2014,tt2205401,Addicted,Addicted,106.0,"Drama,Thriller",5.2,7640
