,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,return_on_investment,year,movie_id,primary_title,original_title,runtime_minutes,genres,averagerating,numvotes,runtime,Horror,month
975,91,2015-08-21,Sinister 2,10000000,27740955,54104225,5.4104225,2015,tt2752772,Sinister 2,Sinister 2,97.0,"Horror,Mystery,Thriller",5.3,41782,sweet spot,True,8
976,92,2016-01-08,The Forest,10000000,26594261,40749230,4.074923,2016,tt1488602,The Forest,The Forest,98.0,"Horror,Thriller",3.5,135,sweet spot,True,1
981,1,2016-09-16,Blair Witch,10000000,20777061,38985577,3.8985577,2016,tt1540011,Blair Witch,Blair Witch,89.0,"Horror,Mystery,Thriller",5.0,36867,under,True,9
982,7,2015-10-23,Paranormal Activity: The Ghost Dimension,10000000,18297124,77959374,7.7959374,2015,tt2473510,Paranormal Activity: The Ghost Dimension,Paranormal Activity: The Ghost Dimension,88.0,"Horror,Mystery,Thriller",4.6,22361,under,True,10
994,52,2012-11-30,The Collection,10000000,6810754,8890094,0.8890094,2012,tt1748227,The Collection,The Collection,82.0,"Action,Horror,Thriller",6.1,42256,under,True,11
1017,39,2014-09-26,Plastic,10000000,0,575371,0.0575371,2014,tt1691450,Plastic,Plastic,80.0,Horror,6.2,91,under,True,9
1019,45,2012-04-13,Detention,10000000,0,0,0.0,2012,tt0990363,Detention,Detention,81.0,"Horror,Thriller",3.0,889,under,True,4
1020,46,2014-02-07,Nurse 3D,10000000,0,0,0.0,2014,tt1913166,Nurse 3D,Nurse 3-D,84.0,"Horror,Thriller",4.6,8768,under,True,2
1025,59,2013-12-31,Re-Kill,9500000,0,0,0.0,2013,tt1612319,Re-Kill,Re-Kill,88.0,"Action,Horror",5.0,2328,under,True,12
1029,71,2014-07-18,The Purge: Anarchy,9000000,71562550,111534881,12.392764555555555,2014,tt2975578,The Purge: Anarchy,The Purge: Anarchy,103.0,"Action,Horror,Sci-Fi",6.5,126203,sweet spot,True,7
1030,75,2016-10-21,Ouija: Origin of Evil,9000000,35144505,81831866,9.092429555555556,2016,tt4361050,Ouija: Origin of Evil,Ouija: Origin of Evil,99.0,"Drama,Horror,Mystery",6.1,47099,sweet spot,True,10
1031,78,2019-02-13,Happy Death Day 2U,9000000,28051045,64179495,7.131055,2019,tt8155288,Happy Death Day 2U,Happy Death Day 2U,100.0,"Drama,Horror,Mystery",6.3,27462,sweet spot,True,2
1054,72,2019-05-03,The Intruder,8000000,35095904,36005871,4.500733875,2019,tt1773741,The Intruder,Khew ar-khard,106.0,Horror,4.3,136,sweet spot,True,5
1075,68,2016-06-24,The Neon Demon,7500000,1333124,3559803,0.4746404,2016,tt1974419,The Neon Demon,The Neon Demon,117.0,"Horror,Thriller",6.2,72359,over,True,6
1079,77,2017-01-13,The Bye Bye Man,7400000,22395806,31187727,4.214557702702702,2017,tt4030600,The Bye Bye Man,The Bye Bye Man,96.0,"Drama,Fantasy,Horror",4.3,17743,sweet spot,True,1
1087,14,2014-01-17,Devil's Due,7000000,15821461,36146087,5.163726714285715,2014,tt2752758,Devil's Due,Devil's Due,89.0,"Horror,Mystery,Thriller",4.1,15502,under,True,1
