,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,return_on_investment,year
1910,11,2012-04-13,The Cabin in the Woods,30000000,42073277,70689968,2.3563322666666666,2012
1913,14,2011-04-08,Hanna,30000000,40259119,65343694,2.1781231333333335,2011
1924,25,2011-07-01,Larry Crowne,30000000,35608245,61449135,2.0483045,2011
1925,26,2013-10-18,Carrie,30000000,35266619,82409520,2.746984,2013
1931,32,2013-02-08,Side Effects,30000000,32172757,66742138,2.2247379333333335,2013
1933,34,2014-07-02,Deliver Us from Evil,30000000,30577122,87956618,2.9318872666666667,2014
1936,37,2012-04-27,The Five-Year Engagement,30000000,28700285,61623819,2.0541273,2012
1944,45,2011-02-04,Sanctum,30000000,23209310,108957098,3.631903266666667,2011
1946,47,2017-08-25,Ballerina,30000000,21858070,96892829,3.2297609666666665,2017
1952,53,2013-10-04,Runner Runner,30000000,19316646,60512680,2.0170893333333333,2013
1954,55,2017-04-28,Baahubali 2: The Conclusion,30000000,18985794,263502914,8.783430466666667,2017
2013,14,2015-05-15,Pitch Perfect 2,29000000,184296230,287625468,9.918119586206897,2015
2015,16,2018-09-28,Night School,29000000,77339130,103008792,3.5520273103448274,2018
2016,17,2016-04-08,The Boss,29000000,63077560,78652207,2.7121450689655173,2016
2034,35,2015-08-14,Straight Outta Compton,28000000,161197785,202182981,7.22082075,2015
2035,36,2017-07-21,Girls Trip,28000000,115108515,140886353,5.0316554642857145,2017
2039,40,2017-11-01,A Bad Moms Christmas,28000000,72110659,127710550,4.561091071428572,2017
2040,41,2013-02-14,Safe Haven,28000000,71399120,94050951,3.358962535714286,2013
2041,42,2015-12-11,The Big Short,28000000,70259870,133162752,4.755812571428572,2015
2043,44,2014-10-10,Alexander and the Terrible Horrible No Good Very Bad Day,28000000,66954149,101379287,3.6206888214285713,2014
2045,46,2013-01-28,Last Vegas,28000000,63914167,112914167,4.032648821428571,2013
2049,50,2018-06-15,Tag,28000000,54730625,77026186,2.750935214285714,2018
2064,65,2013-08-16,Kick-Ass 2,28000000,28795985,63129909,2.254639607142857,2013
2066,67,2014-09-19,A Walk Among the Tombstones,28000000,26017685,62108587,2.2181638214285715,2014
2068,69,2014-04-25,Brick Mansions,28000000,20396829,73421224,2.6221865714285713,2014
2090,91,2011-03-18,Limitless,27000000,79249455,155564919,5.761663666666666,2011
2097,98,2016-05-13,Money Monster,27000000,41012075,93466095,3.461707222222222,2016
2099,100,2011-08-19,Spy Kids: All the Time in the World,27000000,38536376,80681183,2.9881919629629627,2011
2130,31,2011-12-09,New Yearâs Eve,26000000,54544638,146850273,5.648087423076923,2011
2132,33,2013-04-26,Pain & Gain,26000000,49875291,81275291,3.125972730769231,2013
2137,38,2012-08-29,Lawless,26000000,37397291,54393687,2.0920648846153846,2012
2162,63,2011-08-10,The Help,25000000,169705587,213120004,8.52480016,2011
2163,64,2016-12-25,Hidden Figures,25000000,169607287,231771716,9.27086864,2016
2166,67,2014-01-17,Ride Along,25000000,134202565,153733800,6.149352,2014
2178,79,2012-12-25,Parental Guidance,25000000,77267296,120832383,4.83329532,2012
2183,84,2011-01-21,No Strings Attached,25000000,70662220,149228078,5.96912312,2011
